task,cutoff,metric,point_estimate,ci_lower,ci_upper
binary,cutoff_365d,auprc,0.49838130289181637,0.4486830335969357,0.553009923917683
binary,cutoff_365d,auroc,0.8120386720581445,0.7840865754236958,0.8381642311841976
binary,cutoff_545d,auprc,0.49419756854646524,0.4442919482062411,0.5504949298411672
binary,cutoff_545d,auroc,0.8114979674176055,0.7835722471986168,0.838025736307895
binary,cutoff_730d,auprc,0.49573670957407034,0.44695731268946376,0.5540071615408616
binary,cutoff_730d,auroc,0.8119838830497178,0.7833110322997209,0.8390498561520899
multiclass,cutoff_365d,macro_f1,0.6621948484755928,0.6308261940229026,0.6848999621223063
multiclass,cutoff_545d,macro_f1,0.6599424135856947,0.6277527992460891,0.6837752004083435
multiclass,cutoff_730d,macro_f1,0.6524488306063574,0.6207813449130534,0.6757268244854397
