task,comparison,metric,observed_diff,ci_lower,ci_upper,interpretation,n_rows,n_patients
binary,D - A,auprc,0.031170454955130877,-0.0070665552415244024,0.06191880330282073,inconclusive (CI includes 0),1323,107
binary,D - C,auprc,-0.0074698777202057975,-0.04305157182825592,0.01946059707727613,inconclusive (CI includes 0),1323,107
binary,D - A,auroc,0.010385291875202873,-0.00580715789945406,0.02654030979672545,inconclusive (CI includes 0),1323,107
binary,D - C,auroc,-0.005920163658461042,-0.015832884877270907,0.004047495426616234,inconclusive (CI includes 0),1323,107
multiclass,D - A,macro_f1,-0.010546954991825563,-0.03752245833187405,0.01638929863280214,inconclusive (CI includes 0),1449,107
multiclass,D - C,macro_f1,-0.0006881431868702714,-0.023067686903759262,0.021211114148687146,inconclusive (CI includes 0),1449,107
