task,comparison,metric,observed_diff,ci_lower,ci_upper,interpretation,n_rows,n_patients
binary,365d - 545d,auprc,0.004183734345351131,-0.004910807990492157,0.014871954442012844,inconclusive (CI includes 0),1930,155
binary,365d - 545d,auroc,0.0005407046405390137,-0.0020160057668120596,0.0032444565540394542,inconclusive (CI includes 0),1930,155
binary,365d - 730d,auprc,0.0026445933177460246,-0.009112973368923685,0.011980675969698163,inconclusive (CI includes 0),1930,155
binary,365d - 730d,auroc,5.478900842670331e-05,-0.0025711451738866823,0.0024199811332497236,inconclusive (CI includes 0),1930,155
binary,545d - 730d,auprc,-0.0015391410276051065,-0.011285551372352464,0.006424660393527727,inconclusive (CI includes 0),1930,155
binary,545d - 730d,auroc,-0.00048591563211231037,-0.0030506539896808737,0.002142315889630111,inconclusive (CI includes 0),1930,155
multiclass,365d - 545d,macro_f1,0.002252434889898125,-0.010031111652883123,0.014998381395887288,inconclusive (CI includes 0),2079,155
multiclass,365d - 730d,macro_f1,0.009746017869235457,-0.0032169096453220193,0.022013180725389048,inconclusive (CI includes 0),2079,155
multiclass,545d - 730d,macro_f1,0.007493582979337332,-0.0018776062792977136,0.015723284154109514,inconclusive (CI includes 0),2079,155
